catch_id,caught_at,user_id,user_name,area_id,area_name,fish_id,fish_name,size,lure,weather
4632882,2023-05-27 09:50:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,40.0,ミジ団子,快晴
4632849,2023-05-27 09:03:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,50.0,ミジ団子,快晴
4631250,2023-05-27 01:27:00+09:00,249916,kan777(江戸前),1150,有明西ふ頭公園,2,シーバス,60.0,メタルバイブ30g,晴れ
4613259,2023-05-21 13:27:00+09:00,399853,もりたん,1150,有明西ふ頭公園,185,クロダイ,,ミジ貝,晴れ
4609421,2023-05-21 07:43:00+09:00,399853,もりたん,1150,有明西ふ頭公園,185,クロダイ,,ミジ貝,曇り
4596730,2023-05-18 04:58:00+09:00,835354,40年ぶりのヘチ釣り,1150,有明西ふ頭公園,185,クロダイ,32.0,カニ,快晴
4590915,2023-05-16 14:19:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,185,クロダイ,46.0,ミジ団子,快晴
4590793,2023-05-16 13:58:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,185,クロダイ,50.0,ミジ団子,快晴
4590755,2023-05-16 13:40:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,185,クロダイ,39.0,ミジ団子,快晴
4590726,2023-05-16 13:00:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,975,キビレ,43.0,ミジ団子,快晴
4577930,2023-05-13 09:58:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,,ミジ団子,小雨
4577884,2023-05-13 09:34:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,43.0,ミジ団子,小雨
4556586,2023-05-06 15:38:00+09:00,399853,もりたん,1150,有明西ふ頭公園,185,クロダイ,,イガイ,晴れ
4543750,2023-05-04 19:24:00+09:00,1050575,はるぼん,1150,有明西ふ頭公園,801,フッコ（ヒラスズキ）,20.0,,快晴
4543375,2023-05-04 17:17:00+09:00,623637,泳がせはロマン,1150,有明西ふ頭公園,793,フッコ（マルスズキ）,46.0,,快晴
4529650,2023-04-29 12:41:00+09:00,611927,のりくろ,1150,有明西ふ頭公園,793,フッコ（マルスズキ）,48.0,,快晴
4529646,2023-04-29 07:41:00+09:00,611927,のりくろ,1150,有明西ふ頭公園,793,フッコ（マルスズキ）,45.0,,快晴
4529641,2023-04-29 07:29:00+09:00,611927,のりくろ,1150,有明西ふ頭公園,793,フッコ（マルスズキ）,50.0,,快晴
4511575,2023-04-28 08:21:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,47.0,イガイ団子,快晴
4490910,2023-04-22 09:01:00+09:00,354274,あにか10416,1150,有明西ふ頭公園,2,シーバス,55.0,ボウズのがれ,快晴
4477729,2023-04-17 16:39:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,45.0,イガイ団子,快晴
4460162,2023-04-11 09:22:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,,カニ,快晴
4445934,2023-04-06 04:40:00+09:00,835354,40年ぶりのヘチ釣り,1150,有明西ふ頭公園,185,クロダイ,30.0,アオイソメ,晴れ
4441061,2023-04-04 16:05:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,40.5,カニ,快晴
4355202,2023-03-04 18:34:00+09:00,855287,ざわめき,1150,有明西ふ頭公園,370,マハゼ,,,快晴
4284450,2023-01-28 22:41:00+09:00,295169,martin0318,1150,有明西ふ頭公園,164,クロメバル,10.0,,晴れ
4283508,2023-01-28 08:28:00+09:00,855287,ざわめき,1150,有明西ふ頭公園,751,モクズガニ,20.0,,快晴
4225661,2023-01-03 19:22:00+09:00,891614,kiryuたまご,1150,有明西ふ頭公園,2,シーバス,20.0,青イソメ,快晴
4196715,2022-12-23 10:52:00+09:00,432639,クロダイ釣りたい,1150,有明西ふ頭公園,185,クロダイ,45.0,,快晴
4192806,2022-12-20 16:43:00+09:00,281496,サジサン,1150,有明西ふ頭公園,2,シーバス,50.0,ニンジャリ,快晴
4141766,2022-12-03 07:08:00+09:00,986808,釣り初心者のお父ちゃん,1150,有明西ふ頭公園,539,カタクチイワシ,,,曇り
4127848,2022-11-27 15:30:00+09:00,976310,彩と桃,1150,有明西ふ頭公園,539,カタクチイワシ,,SHIMANO,晴れ
4116215,2022-11-25 23:32:00+09:00,489372,釣りは良いよね,1150,有明西ふ頭公園,796,セイゴ（マルスズキ）,,ジョルティミニ14g,晴れ
4095578,2022-11-20 12:05:00+09:00,587131,月6アングラーZ4,1150,有明西ふ頭公園,2,シーバス,,,霧
4093561,2022-11-20 00:10:00+09:00,362043,TK_angler,1150,有明西ふ頭公園,2,シーバス,38.5,DAIWA,曇り
4078565,2022-11-15 20:20:00+09:00,326679,渋谷のベランダ日和,1150,有明西ふ頭公園,2,シーバス,56.0,バイブ  シュナイダー - ブルピン,曇り
