catch_id,caught_at,user_id,user_name,area_id,area_name,fish_id,fish_name,size,lure
4596730,2023-05-18 04:58:00+09:00,835354,40年ぶりのヘチ釣り,1150,有明西ふ頭公園,185,クロダイ,32.0,カニ
4592020,2023-05-16 22:21:00+09:00,707009,勇輝　,1148,水の広場公園,2,シーバス,40.0,レクター111F - ゴールデンマンゴー
4590948,2023-05-16 15:31:00+09:00,605555,ショウジン,1148,水の広場公園,185,クロダイ,43.0,ミジ
4590915,2023-05-16 14:19:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,185,クロダイ,46.0,ミジ団子
4590793,2023-05-16 13:58:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,185,クロダイ,50.0,ミジ団子
4590755,2023-05-16 13:40:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,185,クロダイ,39.0,ミジ団子
4590726,2023-05-16 13:00:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,975,キビレ,43.0,ミジ団子
4592670,2023-05-16 10:12:00+09:00,939911,アングラータカシ,1148,水の広場公園,185,クロダイ,49.5,
4589213,2023-05-16 02:41:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,50.0,マニックスロー135 - マットブラックPBⅡ
4582446,2023-05-14 10:31:00+09:00,557199,ショーケン,1148,水の広場公園,2,シーバス,50.0,シャッドラップ - パーチ
4579915,2023-05-13 19:43:00+09:00,445441,ハゼマン,1148,水の広場公園,2,シーバス,54.0,IP10
4577930,2023-05-13 09:58:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,,ミジ団子
4577884,2023-05-13 09:34:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,43.0,ミジ団子
4576731,2023-05-13 02:10:00+09:00,883547,OJ0702,1148,水の広場公園,2,シーバス,45.0,ノガレ120f - チャート
4577309,2023-05-12 23:03:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,46.0,feel100 - マットピンク
4577320,2023-05-12 22:28:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,969,チヌ,44.0,マニックスロー95 - 赤虫レインボー
4577315,2023-05-12 22:20:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,969,チヌ,43.0,マニックスロー95 - 赤虫レインボー
4575102,2023-05-12 20:05:00+09:00,695543,ぱぱす🌝,1148,水の広場公園,2,シーバス,45.0,アルカリシャッド - アカキン
4577591,2023-05-12 01:03:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,57.0,マニックスロー95 - マットブラックPBⅡ
4577584,2023-05-11 22:59:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,40.0,feel100 - マットピンク
4577580,2023-05-11 22:34:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,35.0,ハイドロアッパー55s - パールレッドベリー
